111,adidas Deportivo Shoes,699,7,adidas Deportivo TF Men's Shoes.Boots for showing your skills on artificial turf..Asymmetrical lace closure.Soft synthetic upper with control stitching.Anatomically designed heel for improved fit.Football boots for artificial turf.Breathable perforated tongue.Sustainability Feature: RECYCLED MATERIALS BASE - REC CONTENT,Men's Fashion,0,4,0,0,0,0,0,0,1,bassant@gmail.com
112,Sportive Tank Top,55,9,CAESAR Print Sportive Tank Top - Black for.Tank Top.1 piece.black.comfortable materials,Kids Fashion,10,1,0,0,0,0,0,0,1,bassant@gmail.com
113,Short Sleeve T-Shirts,39,4,Town Team - Short Sleeve T-Shirts.Material: Cotton.Top Style: T-Shirts.Sleeve Length: Short Sleeve.Neck Style: V Neck.Material Composition: 100% Cotton.Is Adult Product: false,Kids Fashion,0,2,0,0,0,0,0,0,1,bassant@gmail.com
114,Cover iPhone 12Pro Max,168.02,4,Nillkin Super Frost Shield Pro PC/TPU Protection Back Cover For iPhone 12 Pro Max - Blue.Brand: Nillkin.Mobile Accessory Type: Cases & Covers.Compatible with: Apple.Compatible Devices Model: iPhone 12 Pro Max.Color: Blue,Mobiles & Tablets & Accessories,0,2,0,0,0,0,0,0,1,omar@gmail.com
115,Laptop Stand - Silver,540,7,Nillkin ProDesk Adjustable Laptop Stand - Silver.Brand: Nillkin.Compatible with : Laptops within 17 inches.Color: Silver.Material: Aluminum & silicone.Simple Design,Mobiles & Tablets & Accessories,15,3,0,0,0,0,0,0,1,omar@gmail.com
116,Phone Holder Stand,55.1,20,Cell Phone Stand. Adjustable Cell Phone Stand. TopACE Foldable Portable Desktop Stand. Phone Holder Stand for Desk Sturdy Aluminum Metal Stand for Phone/iPad/Kindle/Tablet/Switch (Multi color)),Mobiles & Tablets & Accessories,3,1,0,0,0,0,0,0,1,omar@gmail.com
117,Mi Band 5 - Black,469,14,Xiaomi Mi Smart Band 5 - Black.Screen protection: 2.5D.Screen size: 1.1 inches.Resolution: 126 x 294,Mobiles & Tablets & Accessories,0,6,0,0,0,0,0,0,1,omar@gmail.com
118,kingston 128GB micSD,350.42,22,kingston 128GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP. SDCS2/128GB. black.Faster speeds: Class 10 UHS-I speeds up to 100 MB/s. Voltage 3.3 V.Optimised for use with Android devices: Improved performance when used with an Android smartphone or tablet.Multiple capacities: Up to 512GB to store all your memorable photos and videos.Durable: For your peace of mind. the card has been extensively d and proven to be waterproof. temperature proof. shock and vibration proof and X-ray proof .Warranty: Available with a lifetime warranty.Format is exFAT,Mobiles & Tablets & Accessories,17,2,0,0,0,0,0,0,1,omar@gmail.com
119,USB C Charger 20W,399,0,Anker Nano USB C Charger 20W. PIQ 3.0 Durable Compact Fast Charger for iPhone 13. 13 Mini. 13 Pro. 13 Pro Max. 12. Galaxy. Pixel 4/3. iPad/iPad mini. Cable Not Included,Mobiles & Tablets & Accessories,25,3,0,0,0,0,0,0,0,usama@gmail.com
120,Nokia G20 Dual Sim,3590,5,Nokia G20 Dual Sim - 6.5 inch. 128 GB. 4 GB RAM. 4G LTE - Dark Blue.Height: 164.9 mmWeight: 197 gWidth: 76 mmDepth: 9.2 mmDisplay size: 6.5 inchAspect ratio: 20:9Cover glass: 2.5D cover glassDisplay type: HD+ LCD with V-notchResolution: 1600 X 720Front camera sensor: 8 MP,Mobiles & Tablets & Accessories,0,7,0,0,0,0,0,0,1,usama@gmail.com
121,Mini True Wireless Earbuds,1150,6,Soundcore by Anker Life P2 Mini True Wireless Earbuds. 10mm Drivers with Big Bass. Custom EQ. Bluetooth 5.2. 32H Playtime. USB-C for Fast Charging. Tiny Size for Commute. Work,Mobiles & Tablets & Accessories,13,5,0,0,0,0,0,0,1,usama@gmail.com
122,iPhone 13 Pro Max,26400,3,Apple iPhone 13 Pro Max with FaceTime - 256GB. 6GB RAM. 4G LTE. Sierra Blue. Single SIM & E-SIM.6.7-inch Super Retina XDR display with ProMotion for a faster. more responsive feel.Cinematic mode adds shallow depth of field and shifts focus automatically in your videos.Pro camera system with new 12MP Telephoto. Wide. and Ultra Wide cameras; LiDAR Scanner; 6x optical zoom range; macro photography; Photographic Styles. ProRes video. Smart HDR 4. Night mode. Apple ProRAW. 4K Dolby Vision HDR recording.12MP TrueDepth front camera with Night mode. 4K Dolby Vision HDR recording.A15 Bionic chip for lightning-fast performance,Mobiles & Tablets & Accessories,0,10,0,0,0,0,0,0,1,usama@gmail.com
123,HUAWEI Band 6,1200,5,HUAWEI Band 6. All-day SpO2 Monitoring. 1.47" FullView Display. 2-Week Battery Life. Fast Charging. Heart Rate Monitoring. Sleep Tracking. 96 Workout Modes. Message Reminder - Graphite Black,Mobiles & Tablets & Accessories,5,5,0,0,0,0,0,0,1,usama@gmail.com
124,LCD Writing Tablet,65,8,LCD Writing Tablet 8.5 inches Doodle pad Portable Electronic Writer Environmental Writing and Drawing Memo Board drawing and writing board with pen and one-click self-scanning Black Color,Computer & Office Supplies,3,3,0,0,0,0,0,0,1,omar@gmail.com
